id_alojamiento,nombre,distrito,latitud,longitud,tipo_propiedad,tipo_alojamiento,capacidad,dormitorios,precio,noches_minimas,disponibilidad_365,reviews_totales,reviews_ultimo_anio,reviews_por_mes,puntuacion_general,puntuacion_ubicacion,ocupacion_estimada_365,ingresos_estimados_365,tipo_dormitorios,ingresos_estimados_mensuales,total_alojamientos_distrito,nivel_competencia,nivel_precio
96033,"Bonito piso a 200m de la playa, El Palo (Málaga)",Este,36.72031,-4.35627,Entire rental unit,Entire home/apt,3,2.0,58.0,3,324,274,40,1.88,4.61,4.44,240,13920.0,2 dormitorios,1160.0,799,Alta competencia,Bajo
340024,NEW APARTMENT IN MALAGA CENTER,Centro,36.72813,-4.41422,Entire rental unit,Entire home/apt,2,1.0,61.0,3,297,322,38,2.11,4.79,4.72,228,13908.0,1 dormitorio,1159.0,5261,Alta competencia,Bajo
358541,Casa La Maga - Apartment for happy people,Centro,36.72374,-4.4213,Entire rental unit,Entire home/apt,2,1.0,87.0,2,195,405,23,2.48,4.76,4.8,138,12006.0,1 dormitorio,1000.5,5261,Alta competencia,Medio
413063,Apartment historical centre Malaga,Centro,36.720215,-4.42297,Entire rental unit,Entire home/apt,2,1.0,78.0,4,276,52,15,0.33,4.76,4.94,120,9360.0,1 dormitorio,780.0,5261,Alta competencia,Bajo
421077,LUXURY MALAGA HISTORIC CENTER BEACH,Centro,36.721,-4.42454,Entire rental unit,Entire home/apt,2,1.0,71.0,5,360,109,5,0.67,4.45,4.78,50,3550.0,1 dormitorio,295.8333333333333,5261,Alta competencia,Bajo
505688,Duplex Apartment in Malaga Center,Centro,36.72402,-4.42013,Entire loft,Entire home/apt,4,2.0,86.0,4,63,243,12,1.51,4.69,4.85,96,8256.0,2 dormitorios,688.0,5261,Alta competencia,Medio
507961,Duplex Apartment. Malaga Center,Centro,36.72387,-4.41937,Entire loft,Entire home/apt,2,1.0,72.0,4,63,216,19,1.34,4.74,4.84,152,10944.0,1 dormitorio,912.0,5261,Alta competencia,Bajo
508787,Modern Apartment in Malaga Center,Centro,36.7248,-4.41913,Entire loft,Entire home/apt,2,1.0,57.0,3,68,259,18,1.61,4.58,4.83,108,6156.0,1 dormitorio,513.0,5261,Alta competencia,Bajo
509073,Modern Apartment. Malaga City Centre,Centro,36.7248,-4.41913,Entire loft,Entire home/apt,2,1.0,57.0,4,68,250,17,1.56,4.67,4.91,136,7752.0,1 dormitorio,646.0,5261,Alta competencia,Bajo
550804,"MALAGA CENTER, MALAGUETA BEACH",Centro,36.71647,-4.41177,Entire rental unit,Entire home/apt,2,0.0,86.0,5,110,105,7,0.7,4.21,4.66,70,6020.0,Sin información,501.6666666666667,5261,Alta competencia,Medio
577612,3 bed penthouse in the Plaza de la Constitución,Centro,36.7208251953125,-4.422372817993164,Entire rental unit,Entire home/apt,4,3.0,272.0,2,306,313,5,2.08,4.73,4.98,30,8160.0,3 o más dormitorios,680.0,5261,Alta competencia,Premium
611037,Atico diáfano en centro de Málaga,Centro,36.72889,-4.42142,Entire rental unit,Entire home/apt,2,1.0,89.0,3,246,229,19,1.56,4.67,4.63,114,10146.0,1 dormitorio,845.5,5261,Alta competencia,Medio
634046,Beach Front Apartment in Málaga,Este,36.7178,-4.34829,Entire condo,Entire home/apt,5,3.0,111.0,5,78,90,5,0.59,4.7,4.75,50,5550.0,3 o más dormitorios,462.5,799,Alta competencia,Alto
655701,Golf next to the beach and ideal Telecommuting,Churriana,36.64943,-4.47706,Entire rental unit,Entire home/apt,6,2.0,81.0,2,305,96,10,0.71,4.53,4.61,60,4860.0,2 dormitorios,405.0,112,Media competencia,Bajo
730157,Málaga Downtown next to La Merced Square!,Centro,36.727593,-4.414336,Entire rental unit,Entire home/apt,4,2.0,71.0,2,319,24,3,0.21,4.71,4.83,18,1278.0,2 dormitorios,106.5,5261,Alta competencia,Bajo
744037,Apartamento en la Malagueta - Puerto de Málaga,Centro,36.71782,-4.41255,Entire rental unit,Entire home/apt,3,2.0,72.0,4,65,268,24,1.82,4.73,4.87,192,13824.0,2 dormitorios,1152.0,5261,Alta competencia,Bajo
